mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os02g33780,26.0,4.9,0.21851851851851853,-2.1941725476889897
LOC_Os02g34430,21.6,3.2,0.18584070796460175,-2.4278615396364276
LOC_Os02g34460,8.4,1.3,0.24468085106382975,-2.0310268956206246
LOC_Os02g34530,13.0,0.7,0.12142857142857143,-3.0418201756946273
LOC_Os02g34580,3.3,0.0,0.23255813953488372,-2.1043366598147357
LOC_Os02g34590,8.3,0.0,0.1075268817204301,-3.2172307162206693
LOC_Os02g34640,4.0,0.0,0.2,-2.321928094887362
LOC_Os02g34690,12.6,1.5,0.18382352941176472,-2.4436066514756147
LOC_Os02g34840,10.0,1.4,0.21818181818181817,-2.1963972128035034
LOC_Os02g34930,6.3,0.0,0.136986301369863,-2.867896463992655
LOC_Os02g34940,7.9,0.7,0.19101123595505617,-2.3882705897160585
LOC_Os02g35000,16.0,1.1,0.12352941176470589,-3.0170735133589415
LOC_Os02g35060,10.9,0.0,0.08403361344537814,-3.572889668420581
LOC_Os02g35090,23.2,1.4,0.09917355371900827,-3.333900736553438
LOC_Os02g35080,17.9,1.5,0.1322751322751323,-2.9183862344463476
LOC_Os02g35140,28.8,2.1,0.1040268456375839,-3.2649722100752863
LOC_Os02g35144,11.5,1.9,0.23199999999999998,-2.107803289534515
LOC_Os02g35500,20.3,3.4,0.20657276995305165,-2.275278001588541
LOC_Os02g35600,14.0,1.9,0.19333333333333333,-2.3708376953683086
LOC_Os02g35620,21.8,0.0,0.043859649122807015,-4.5109619192773796
LOC_Os02g35630,10.3,1.3,0.20353982300884954,-2.296617006358175
LOC_Os02g35640,6.3,0.6,0.21917808219178084,-2.189824558880017
LOC_Os02g35720,6.8,0.7,0.21794871794871795,-2.1979393776119087
LOC_Os02g35950,20.0,3.9,0.23333333333333334,-2.0995356735509145
LOC_Os02g36500,13.0,0.0,0.07142857142857142,-3.807354922057604
LOC_Os02g36710,20.8,3.9,0.22477064220183487,-2.153474480661718
LOC_Os02g37060,13.1,0.0,0.07092198581560284,-3.817623257511431
LOC_Os02g37130,6.4,0.4,0.18918918918918917,-2.402098443571346
LOC_Os02g37150,16.4,3.3,0.2471264367816092,-2.0166787411466305
LOC_Os02g37190,179.8,1.4,0.013274336283185839,-6.235216461694032
LOC_Os02g37260,11.6,0.8,0.14285714285714288,-2.8073549220576037
LOC_Os02g37309,3.3,0.0,0.23255813953488372,-2.1043366598147357
LOC_Os02g37430,22.1,2.8,0.16450216450216448,-2.6038215279724723
LOC_Os02g37590,20.2,1.3,0.10849056603773584,-3.2043584985061866
LOC_Os02g37610,15.3,0.0,0.06134969325153374,-4.026800059343715
LOC_Os02g37800,5.2,0.0,0.16129032258064516,-2.6322682154995127
LOC_Os02g37862,85.7,11.0,0.13840830449826988,-2.8529975876133165
LOC_Os02g37870,11.8,2.1,0.2421875,-2.0458036896131246
LOC_Os02g37960,4.1,0.0,0.19607843137254904,-2.350497247084133
LOC_Os02g38084,16.2,1.3,0.13372093023255813,-2.9027027986450853
LOC_Os02g38120,7.3,0.0,0.12048192771084336,-3.053111336459563
LOC_Os02g38210,40.6,8.9,0.23798076923076922,-2.0710830980614827
LOC_Os02g38230,39.7,1.6,0.06388206388206388,-3.968445266125155
LOC_Os02g38330,4.4,0.0,0.18518518518518517,-2.4329594072761065
